price,make,model,year,mileage,color,vin,state,country
23702,ford,door,2017,49024,black,1ftew1ep4hkc08477,michigan,usa
0,ford,chassis,1994,0,green,1fdee14n7rha47894,california,usa
0,ford,door,1997,203297,green,1fmdu35p7vub38059,minnesota,usa
5520,gmc,mpv,2017,35821,silver,2gkfltek8h6338184,virginia,usa
4050,heartland,pioneer,2018,1,gray,5sfpb3326je365727,pennsylvania,usa
14810,infiniti,mpv,2019,32611,brown,jn8az2ne0k9233910,florida,usa
25,chevrolet,door,2011,105244,white,1gccsbf97b8118236,colorado,usa
2960,chrysler,van,2008,164048,red,2a8hr54px8r787529,florida,usa
24800,ford,door,2017,46955,gray,1ftew1ef3hfc22483,michigan,usa
0,ford,door,1996,296860,green,1falp62w5th144314,california,usa
0,ford,door,2006,203158,red,1fmzk04136ga07119,illinois,usa
6270,gmc,mpv,2017,70443,black,2gkfluek3h6232330,virginia,usa
1880,heartland,trail,2012,1,white,5sfnb2425ce237109,pennsylvania,usa
10050,infiniti,mpv,2019,18229,gray,5n1dl0mm3kc557634,florida,usa
225,chevrolet,door,2014,87673,red,3gcukrec2eg226031,colorado,usa
26900,chevrolet,traverse,2018,42941,black,1gnevhkw8jj148388,missouri,usa
1420,chrysler,door,2007,104405,gold,1c3lc66m77n591138,florida,usa
27003,ford,door,2017,57186,black,1ftew1ef4hfa16802,michigan,usa
0,ford,door,2002,214800,black,3fafp37372r151014,south carolina,usa
350,ford,door,2004,236980,gray,1fmfu16lx4la45470,illinois,usa
5600,gmc,mpv,2017,59808,black,2gkfltek3h6256220,virginia,usa
6680,heartland,country,2011,1,gray,5sfbg3524be216811,pennsylvania,usa
10120,infiniti,mpv,2019,20681,white,5n1dl0mm2kc556913,florida,usa
0,chevrolet,door,2010,137422,red,2cnflnew5a6355858,colorado,usa
3920,ford,door,2015,102700,white,1ftmf1c85fkd31564,georgia,usa
23100,ford,door,2017,53270,black,1ftew1epxhfb71427,michigan,usa
0,gmc,door,2004,235348,gold,1gket16s646227597,south carolina,usa
5630,gmc,mpv,2017,27195,black,2gkfltek2h6218025,virginia,usa
0,heartland,sundance,2009,1,white,5sfgf29269e031344,pennsylvania,usa
2800,jaguar,doors,2019,20849,black,sajbd4fx6kcy78964,florida,usa
0,chevrolet,door,2008,159266,gray,2g1wb58kx81220813,california,usa
8850,ford,door,2015,143818,black,1ftew1cf6ffc68843,georgia,usa
18712,ford,f-150,2017,67347,black,1ftex1e83hfb13813,michigan,usa
0,ford,pickup,2009,180364,blue,1ftyr10d19pa60391,tennessee,usa
0,ford,door,2009,184889,black,1fahp35n09w109143,illinois,usa
6300,gmc,mpv,2017,117400,blue,2gkfluek6h6317310,virginia,usa
2220,heartland,country,2010,1,white,5sfbg3823ae204868,pennsylvania,usa
6930,jeep,mpv,2019,47798,red,1c4pjmdx4kd197521,florida,usa
25,chevrolet,door,2008,130623,white,1gnfc13j88r167278,california,usa
3440,ford,door,2015,124542,white,1fadp5au3fl108248,georgia,usa
50412,ford,door,2017,47129,black,1ft7w2bt3hef41039,michigan,usa
25,ford,pickup,1994,206162,white,1ftdf15y2rnb12612,georgia,usa
